Index,Potencia,Hour,Date,Month,Year,Day,Day (Spanish),Tecnología
2024-01-12 06:00:00,-127.36,06:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 07:00:00,-192.51,07:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 08:00:00,-159.42,08:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 09:00:00,-187.98,09:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 10:00:00,-128.95,10:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 11:00:00,-165.66,11:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 12:00:00,-158.06,12:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 13:00:00,-135.34,13:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 14:00:00,-153.24,14:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 15:00:00,-144.36,15:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 16:00:00,-189.62,16:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 17:00:00,-153.82,17:00,2024-01-12,January,2024,Friday,Viernes,Exportación
